ID,Material,Vision Description Target,Project Idea,Difficulty,Time to Complete,Instructions
58,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Handcrafted Rustic Tealight Holder (Var.401),Easy,19 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap hemp cord tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried chamomile to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
59,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Rustic Herb Garden Planter (Var.567),Easy,25 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with forest green acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Mint."
60,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Minimalist Custom Drawer Organizers (Var.710),Easy,29 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize cables and chargers."
61,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Rustic Hanging Bird Feeder (Var.274),Easy,30 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a bamboo skewer through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
62,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Handcrafted Vertical Succulent Garden (Var.709),Advanced,125 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable canvas tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Cilantro tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
63,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Minimalist Exfoliating Body Scrub (Var.163),Easy,20 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted sweet almond oil.
3. Add 1/4 cup of coarse raw cane sugar for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
64,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Handcrafted Braided Dog Tug Toy (Var.415),Easy,14 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your teacup dog."
65,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Handcrafted Iridescent Mosaic Coasters (Var.219),Intermediate,59 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with black grout and wipe the surface clean. Let it cure."
66,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Upcycled Hanging Bird Feeder (Var.723),Easy,22 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a sturdy twig through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
67,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Dynamic Pocket Wall Organizer (Var.343),Intermediate,48 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid wooden spoon through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or cables and chargers."
68,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Aesthetic Paper Mache Decorative Bowl (Var.616),Intermediate,62 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it matte black."
69,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Handcrafted Braided Dog Tug Toy (Var.344),Easy,27 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your large dog."
70,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Aesthetic Self-Watering Planter (Var.832),Easy,23 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Tomato.
5. Fill the bottom half with water. The string will pull water up to the soil!"
71,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Boho Self-Watering Planter (Var.694),Easy,24 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Rosemary.
5. Fill the bottom half with water. The string will pull water up to the soil!"
72,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Dynamic Herb Garden Planter (Var.985),Easy,28 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with vibrant yellow acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Pothos."
73,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Rustic Paper Mache Decorative Bowl (Var.628),Intermediate,59 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it glossy white."
74,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Boho Pencil Shaving Texture Art (Var.624),Easy,24 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a mandala pattern.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
75,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Aesthetic Pencil Shaving Texture Art (Var.130),Easy,26 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a flamenco dancer.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
76,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Chic Vertical Succulent Garden (Var.975),Advanced,127 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable canvas tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Fern tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
77,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Handcrafted Self-Watering Planter (Var.645),Easy,17 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Spider Plant.
5. Fill the bottom half with water. The string will pull water up to the soil!"
78,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Minimalist Biodegradable Seed Starters (Var.880),Easy,10 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Pothos seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
